tradeCreatedAt,orderId,symbol,side,price,size,funds,fee,liquidity,feeCurrency,orderType,
2022-06-12 13:51:33,62a57eceb22607000108f37b,DOT-USDT,buy,7.6225,0.0487,0.37121575,0.00037121575,maker,USDT,limit,
2022-05-12 15:52:08,627cbc8e57014a0001703265,USDC-USDT,buy,1.03474,8.7354,9.038867796,0.009038867796,maker,USDT,limit,
2022-05-12 03:05:30,627be6d4e8fb91000178b037,BICO-USDT,buy,0.5,4,2,0.002,maker,USDT,limit,
2022-05-12 00:44:01,627be7948333ac00016ee822,AVA-USDT,buy,0.6888,2.9,1.99752,0.00199752,maker,USDT,limit,
2022-05-12 00:43:56,627be7c892bb2600018f7b9d,VIDT-USDT,buy,0.1776,4.6763,0.83051088,0.00083051088,maker,USDT,limit,
2022-05-12 00:43:56,627be7c892bb2600018f7b9d,VIDT-USDT,buy,0.1776,6.6237,1.17636912,0.00117636912,maker,USDT,limit,
2022-05-12 00:42:20,627be73a8333ac00016c5f38,UTK-BTC,buy,0.00000401,17.4389,0.000069929989,0.000000069929989,maker,BTC,limit,
2022-05-12 00:41:03,627be7125a093000017841da,BTC-USDT,buy,30719.9,0.00007,2.150393,0.002150393,maker,USDT,limit,
2022-05-12 00:38:25,627be68057014a000117fcc9,CTSI-USDT,buy,0.184,11,2.024,0.002024,taker,USDT,limit,
2022-05-12 00:37:49,627be65d64e18b0001124454,RSR-USDT,buy,0.00488,440,2.1472,0.0021472,taker,USDT,limit,
2022-05-12 00:37:01,627be62c7052850001a66cb7,MOVR-USDT,buy,23.4962,0.0856,2.01127472,0.00402254944,maker,USDT,limit,
2022-05-12 00:36:28,627be5f27052850001a4beaa,BLOK-USDT,buy,0.006621,300,1.9863,0.0039726,maker,USDT,limit,
2022-05-12 00:14:36,627be0ec6109da000167b5b6,DOT-USDT,buy,9.675,0.5,4.8375,0.0048375,maker,USDT,limit,
2022-04-13 20:05:36,6256bc8fef305f00018e970b,SOL-USDT,sell,101.254,0.065,6.58151,0.00658151,taker,USDT,market,
2022-04-11 09:06:53,623df1f79555e00001a91a29,KDA-USDT,buy,6,0.2,1.2,0.0024,maker,USDT,limit,
2022-04-01 02:47:52,6245f74efce0ff0001e667ba,XLM-USDT,buy,0.233517,40,9.34068,0.00934068,maker,USDT,limit,
2022-04-01 02:45:17,6245f6bdea2b3a0001f89242,XLM-USDT,buy,0.233667,10,2.33667,0.00233667,taker,USDT,limit,
2022-03-28 04:14:22,6240c5969555e00001ba44ee,XRP-USDT,buy,0.84116,0.7,0.588812,0.000588812,maker,USDT,limit,
2022-03-28 04:13:47,6240c57a15b417000108f29d,1INCH-USDT,buy,1.715,2,3.43,0.00343,taker,USDT,limit,
2022-03-28 04:13:37,6240c571a0974800010dba06,1INCH-USDT,buy,1.716,0.35,0.6006,0.0006006,taker,USDT,limit,
2022-03-28 04:11:33,6240c4f558d97b00019ab819,XVS-USDT,buy,10.641,0.141,1.500381,0.001500381,taker,USDT,limit,
2022-03-28 04:10:56,6240c4d0958ade0001bd5ee8,OCEAN-USDT,buy,0.5993,4,2.3972,0.0023972,taker,USDT,limit,
2022-03-28 04:09:00,6240c425958ade0001bb55fc,ETH-USDT,buy,3175.89,0.0006417,2.037968613,0.002037968613,maker,USDT,limit,
2022-03-28 04:08:59,6240c425958ade0001bb55fc,ETH-USDT,buy,3175.89,0.0002583,0.820332387,0.000820332387,maker,USDT,limit,
2022-03-28 04:03:10,6240c2fda09748000106460b,MATIC-USDT,buy,1.6539,2.8,4.63092,0.00463092,maker,USDT,limit,
2022-03-27 11:22:46,623fd886b29df80001e8e2f7,ZIL-USDT,sell,0.0857,38,3.2566,0.0032566,taker,USDT,limit,
2022-03-27 02:27:57,623f5b2b87b4cb0001ed96b0,ZIL-USDT,sell,0.0641,7.2,0.46152,0.00046152,maker,USDT,limit,
2022-03-27 02:27:57,623f5b2b87b4cb0001ed96b0,ZIL-USDT,sell,0.0641,64.8,4.15368,0.00415368,maker,USDT,limit,
2022-03-25 14:21:48,62052af9b6f1100001341ff2,CWEB-USDT,sell,0.0425,141.7233,6.02324025,0.0120464805,maker,USDT,limit,
